Cinsiyete ve yaş grubuna göre çocukların bilişim teknolojileri kullanım oranı, 2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Proportion of ICT usage for children by sex and age group, 2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;(%);;;;;;;;;;;;;;;;;
"Bilişim teknolojileri
Information and communication technologies";;6-15;;;;6-10;;;;11-15;;;;;;;;;;;;;;;;;;;
;;"Toplam
Total";"Erkek
Male";"Kadın
Female";;"Toplam
Total";"Erkek
Male";"Kadın
Female";;"Toplam
Total";"Erkek
Male";"Kadın
Female";;;;;;;;;;;;;;;;;
"İnternet kullanımı
Internet usage";;91,3;92,2;90,3;;87,9;88,1;87,7;;94,7;96,4;93,0;;;;;;;;;;;;;;;;;
"Sosyal medya kullanımı
Social media usage";;66,1;68,1;64,0;;53,5;53,8;53,3;;79,0;82,8;75,1;;;;;;;;;;;;;;;;;
"Cep telefonu/akıllı telefon kullanımı
Mobile phone/smartphone usage";;76,1;76,9;75,3;;66,3;65,8;66,7;;86,2;88,3;84,0;;;;;;;;;;;;;;;;;
"Bilgisayar kullanımı
Computer usage";;50,3;52,3;48,3;;45,9;47,1;44,7;;54,9;57,6;52,0;;;;;;;;;;;;;;;;;
"Dijital oyun oynama
Playing digital game";;74,0;82,8;64,8;;75,7;80,6;70,6;;72,2;85,0;58,7;;;;;;;;;;;;;;;;;
TÜİK, Çocuklarda Bilişim Teknolojileri (BT) Kullanım Araştırması, 2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TurkStat, Survey on Information and Communication Technology (ICT) Usage by Children, 2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
