Cinsiyete ve yaş grubuna göre çocukların sosyal medya platformlarını kullanım oranı, 2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Proportion of children using social media platforms by sex and age group, 2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;(%);;;;;;;;;;;;;;;;;
"Sosyal medya platformları
Social media platforms";;6-15;;;;6-10;;;;11-15;;;;;;;;;;;;;;;;;;;
;;"Toplam
Total";"Erkek
Male";"Kadın
Female";;"Toplam
Total";"Erkek
Male";"Kadın
Female";;"Toplam
Total";"Erkek
Male";"Kadın
Female";;;;;;;;;;;;;;;;;
;YouTube;96,3;96,1;96,6;;98,4;98,3;98,6;;94,9;94,7;95,2;;;;;;;;;;;;;;;;;
;Instagram;41,5;45,5;37,1;;10,7;10,9;10,5;;63,0;68,7;56,5;;;;;;;;;;;;;;;;;
;X;4,9;6,0;3,7;;0,6;0,9;0,4;;7,9;9,4;6,1;;;;;;;;;;;;;;;;;
;Facebook;9,5;13,6;4,8;;3,6;4,3;2,9;;13,6;19,9;6,2;;;;;;;;;;;;;;;;;
;TikTok;26,2;25,3;27,2;;11,7;11,8;11,6;;36,3;34,3;38,6;;;;;;;;;;;;;;;;;
;Snapchat;21,4;15,3;28,2;;6,0;4,5;7,5;;32,1;22,5;43,3;;;;;;;;;;;;;;;;;
;Pinterest;13,6;6,5;21,6;;2,9;1,6;4,3;;21,1;9,7;34,3;;;;;;;;;;;;;;;;;
TÜİK, Çocuklarda Bilişim Teknolojileri (BT) Kullanım Araştırması, 2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TurkStat, Survey on Information and Communication Technology (ICT) Usage by Children, 2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Birden fazla seçenek işaretlenebildiği için toplam 100 olmayabilir.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Since more than one option can be chosen, total may not be 100.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
